metric,max_emerg_wait,value,num_beds
emergency_surgery,2,"[99.39999999999996, 92.74999999999999, 80.49999999999999, 104.64999999999998, 75.24999999999999, 72.27499999999998, 96.075, 88.89999999999998, 101.325, 104.3, 81.89999999999999, 106.75, 88.725, 66.50000000000001, 98.34999999999998, 74.025, 81.89999999999996, 104.47499999999998, 76.29999999999997, 89.77499999999996, 111.12499999999997, 97.99999999999999, 98.35000000000001, 86.62499999999999, 100.62499999999997, 77.00000000000001, 86.80000000000001, 83.65, 118.65, 88.725, 105.7, 96.77499999999998, 96.07499999999999, 89.95, 97.47499999999998, 93.79999999999997, 86.09999999999998, 85.74999999999999, 80.49999999999997, 96.24999999999997, 78.04999999999998, 69.99999999999999, 101.85, 79.62500000000001, 112.87499999999996, 85.925, 109.72499999999998, 110.42499999999998, 95.02499999999996, 110.07499999999999, 93.09999999999997, 81.55, 116.02499999999998, 99.40000000000002, 102.19999999999996, 92.22500000000001, 83.30000000000001, 122.14999999999998, 87.49999999999996, 103.24999999999999, 99.74999999999999, 115.49999999999997, 125.30000000000001, 93.97499999999998, 111.825, 85.39999999999999, 100.27499999999999, 96.425, 83.64999999999999, 104.99999999999999, 109.89999999999995, 121.97499999999995, 129.325, 93.44999999999999, 114.62499999999999, 117.25, 95.37499999999997, 75.95, 116.37499999999997, 87.14999999999999, 95.20000000000002, 83.12499999999997, 133.87499999999994, 86.79999999999997, 79.27499999999998, 104.29999999999995, 86.80000000000001, 93.44999999999999, 102.37499999999997, 81.19999999999997, 87.85, 93.975, 82.425, 81.37499999999999, 121.62499999999996, 82.07499999999999, 96.42499999999997, 83.64999999999998, 123.89999999999999, 98.52499999999999]",50
elective_surgery,2,"[34.75, 21.75, 10.1875, 18.875, 20.8125, 10.1875, 18.3125, 16.0, 28.5, 19.6875, 17.625, 23.625, 24.8125, 15.3125, 27.375, 14.9375, 13.875, 24.75, 17.125, 16.875, 24.0, 27.0, 17.1875, 22.6875, 15.3125, 16.0625, 10.5625, 17.75, 23.8125, 16.5, 12.375, 16.875, 21.1875, 34.0, 12.8125, 16.375, 18.5625, 12.375, 20.0625, 24.0625, 13.0625, 13.5, 24.8125, 14.9375, 27.0625, 20.5, 17.0, 19.3125, 19.375, 28.125, 16.4375, 10.625, 34.3125, 23.8125, 25.5625, 16.75, 12.8125, 25.1875, 19.4375, 23.8125, 20.875, 35.0625, 35.4375, 17.5, 22.6875, 21.1875, 23.6875, 15.3125, 15.375, 28.8125, 24.1875, 22.625, 32.1875, 19.9375, 28.8125, 25.125, 22.125, 7.6875, 26.25, 21.0625, 22.5625, 17.5625, 48.1875, 31.75, 18.3125, 24.125, 17.9375, 18.1875, 24.6875, 16.6875, 11.375, 24.1875, 26.9375, 17.8125, 29.5625, 20.4375, 18.1875, 20.8125, 29.875, 24.8125]",50
daycase_surgery,2,"[13.125, 14.125, 6.8125, 5.8125, 7.5, 7.875, 10.4375, 8.25, 6.53125, 12.09375, 9.84375, 5.46875, 11.375, 2.71875, 16.375, 9.5625, 9.21875, 11.1875, 5.3125, 6.21875, 11.34375, 10.8125, 15.21875, 10.0625, 13.40625, 6.4375, 12.125, 9.9375, 14.3125, 10.46875, 6.75, 6.0625, 8.8125, 14.40625, 8.84375, 8.40625, 11.21875, 6.25, 7.65625, 10.34375, 8.625, 9.25, 7.53125, 8.28125, 7.53125, 10.40625, 10.8125, 15.375, 12.40625, 17.59375, 10.25, 5.65625, 13.125, 15.65625, 8.5625, 8.96875, 5.15625, 11.90625, 8.0625, 9.34375, 10.65625, 15.34375, 18.8125, 9.71875, 10.4375, 12.96875, 14.15625, 10.78125, 11.375, 11.53125, 12.90625, 16.375, 16.53125, 8.5625, 17.09375, 17.4375, 6.375, 5.15625, 10.03125, 9.53125, 13.5625, 6.21875, 20.96875, 8.8125, 13.21875, 16.53125, 12.5, 10.96875, 11.34375, 10.25, 16.25, 9.15625, 14.125, 8.84375, 14.53125, 10.0625, 17.84375, 10.34375, 11.0625, 11.21875]",50
emergency_patients_seen,3,"[59, 65, 49, 60, 50, 49, 57, 60, 71, 57, 62, 57, 59, 52, 61, 52, 47, 61, 53, 50, 72, 60, 62, 59, 60, 46, 55, 57, 68, 55, 62, 62, 64, 59, 53, 56, 62, 50, 52, 57, 58, 47, 62, 52, 71, 53, 63, 61, 65, 70, 59, 53, 70, 60, 59, 50, 50, 74, 56, 61, 62, 74, 81, 57, 72, 49, 58, 65, 51, 67, 72, 69, 77, 52, 71, 72, 54, 48, 67, 60, 58, 52, 82, 59, 56, 64, 58, 56, 67, 60, 60, 64, 57, 56, 72, 53, 56, 62, 72, 61]",50
elective_patients_seen,3,"[15, 11, 5, 10, 6, 3, 7, 6, 9, 10, 8, 12, 7, 6, 10, 7, 3, 10, 7, 6, 12, 11, 8, 7, 8, 7, 6, 9, 12, 6, 5, 6, 11, 13, 5, 7, 9, 7, 8, 8, 10, 8, 10, 7, 11, 6, 9, 9, 8, 12, 7, 7, 12, 11, 11, 7, 5, 11, 9, 11, 7, 14, 16, 9, 15, 5, 11, 5, 6, 13, 9, 8, 15, 8, 10, 12, 6, 3, 11, 9, 11, 6, 22, 13, 6, 9, 6, 10, 13, 9, 3, 9, 13, 9, 12, 8, 9, 10, 18, 11]",50
daycase_patients_seen,3,"[10, 8, 4, 5, 5, 6, 7, 5, 9, 7, 11, 6, 7, 4, 8, 6, 2, 8, 4, 5, 7, 8, 11, 7, 9, 4, 7, 5, 12, 5, 5, 4, 9, 6, 5, 6, 6, 3, 7, 10, 5, 5, 4, 7, 7, 10, 7, 13, 10, 12, 8, 6, 11, 10, 8, 5, 3, 9, 7, 8, 4, 13, 16, 7, 10, 10, 8, 9, 7, 9, 7, 11, 11, 5, 11, 9, 6, 3, 9, 10, 8, 6, 18, 7, 9, 9, 7, 9, 9, 7, 8, 8, 10, 5, 9, 8, 8, 6, 4, 7]",50
emergency_patients_cancelled,3,"[32, 35, 45, 31, 37, 41, 34, 34, 33, 32, 34, 31, 33, 34, 33, 43, 39, 30, 40, 39, 28, 29, 34, 38, 35, 47, 41, 39, 24, 40, 29, 31, 34, 33, 34, 30, 30, 36, 35, 35, 35, 45, 37, 40, 28, 41, 27, 31, 32, 25, 32, 40, 23, 31, 30, 40, 35, 24, 34, 26, 30, 26, 16, 31, 35, 38, 32, 33, 41, 29, 27, 24, 20, 37, 22, 24, 36, 39, 25, 33, 32, 43, 8, 37, 32, 27, 36, 38, 30, 37, 29, 32, 36, 40, 25, 40, 35, 41, 20, 23]",50
elective_patients_cancelled,3,"[24, 36, 33, 31, 36, 39, 33, 34, 30, 34, 30, 30, 36, 38, 31, 35, 38, 34, 33, 33, 28, 32, 33, 30, 31, 32, 35, 31, 26, 36, 36, 34, 27, 24, 37, 34, 29, 33, 35, 33, 27, 31, 30, 32, 28, 33, 31, 31, 31, 29, 33, 33, 28, 28, 28, 34, 34, 28, 32, 24, 30, 25, 23, 33, 17, 38, 30, 35, 37, 30, 27, 33, 23, 34, 32, 29, 32, 36, 29, 33, 29, 33, 15, 25, 35, 28, 36, 28, 27, 32, 36, 31, 25, 32, 28, 33, 36, 29, 22, 27]",50
daycase_patients_cancelled,3,"[53, 49, 55, 55, 53, 48, 52, 54, 50, 57, 56, 53, 51, 59, 46, 54, 56, 50, 57, 58, 54, 52, 54, 50, 51, 53, 50, 46, 47, 51, 47, 57, 49, 47, 49, 58, 55, 58, 55, 49, 56, 56, 57, 50, 49, 52, 55, 47, 53, 48, 51, 52, 52, 49, 57, 54, 53, 52, 53, 51, 54, 46, 48, 48, 47, 52, 48, 49, 55, 45, 54, 49, 46, 56, 47, 48, 58, 67, 54, 54, 51, 57, 43, 46, 56, 52, 52, 54, 46, 57, 42, 49, 44, 54, 49, 48, 46, 51, 50, 46]",50
emergency_surgery,3,"[100.62499999999997, 98.17499999999998, 77.17499999999998, 101.49999999999997, 81.89999999999998, 71.57499999999999, 93.27499999999999, 92.39999999999998, 105.525, 96.425, 89.25, 101.67499999999998, 88.02499999999999, 80.85000000000001, 94.32499999999997, 79.45, 79.27499999999998, 100.62499999999996, 77.17499999999997, 89.94999999999996, 115.84999999999997, 102.54999999999998, 99.4, 85.925, 99.74999999999999, 72.80000000000001, 79.27500000000002, 92.225, 113.75, 84.525, 101.5, 97.99999999999997, 97.64999999999998, 89.775, 91.175, 93.79999999999997, 94.84999999999998, 81.89999999999999, 85.04999999999998, 94.67499999999997, 86.45, 72.975, 101.14999999999998, 85.75000000000001, 113.92499999999995, 82.425, 104.47499999999998, 105.87499999999999, 100.97499999999997, 111.64999999999999, 93.62499999999997, 79.27499999999999, 110.94999999999999, 99.05, 102.37499999999996, 83.65, 82.95000000000002, 122.49999999999997, 88.19999999999996, 105.17499999999998, 101.84999999999998, 115.49999999999997, 127.92500000000001, 92.225, 107.10000000000001, 83.47499999999998, 95.54999999999998, 101.32499999999999, 82.425, 111.12499999999999, 115.14999999999995, 116.02499999999995, 126.175, 84.34999999999995, 119.52499999999998, 119.0, 94.14999999999998, 75.95, 119.87499999999997, 94.84999999999998, 95.20000000000002, 86.44999999999996, 142.09999999999997, 90.12499999999997, 89.59999999999998, 100.44999999999996, 96.59999999999998, 87.84999999999998, 103.42499999999997, 90.99999999999997, 90.99999999999999, 103.60000000000001, 83.825, 83.29999999999998, 117.59999999999997, 81.02499999999999, 86.09999999999997, 85.74999999999999, 116.2, 106.57499999999999]",50
elective_surgery,3,"[36.1875, 19.5625, 10.1875, 18.875, 12.0, 6.5625, 18.3125, 10.875, 22.6875, 21.875, 23.125, 24.0, 15.3125, 12.0, 21.125, 15.6875, 7.3125, 22.625, 14.9375, 16.875, 25.5, 25.5625, 18.625, 19.0625, 17.5, 16.0625, 14.625, 17.0625, 30.375, 16.5, 10.1875, 16.875, 25.5625, 31.4375, 12.8125, 14.9375, 18.5625, 14.5625, 17.875, 17.5, 19.625, 20.875, 23.375, 14.9375, 25.1875, 17.625, 15.5625, 20.4375, 19.375, 27.375, 16.4375, 14.9375, 27.0, 26.6875, 25.5625, 15.3125, 12.8125, 24.8125, 23.0625, 24.4375, 18.6875, 32.875, 37.625, 18.9375, 35.8125, 10.5625, 24.4375, 10.9375, 13.875, 29.9375, 24.1875, 20.875, 36.9375, 13.375, 23.75, 25.875, 22.125, 7.6875, 23.3125, 17.8125, 22.5625, 16.875, 49.625, 30.6875, 18.375, 23.4375, 15.75, 21.125, 24.6875, 18.1875, 8.4375, 22.6875, 29.5625, 19.6875, 27.375, 18.25, 20.0625, 20.75, 38.25, 26.3125]",50
daycase_surgery,3,"[11.3125, 11.1875, 6.8125, 4.34375, 6.21875, 7.875, 8.40625, 6.21875, 11.15625, 8.96875, 11.84375, 8.4375, 8.78125, 5.5, 13.25, 9.5625, 6.3125, 8.9375, 5.3125, 6.21875, 9.34375, 9.875, 14.65625, 9.34375, 13.40625, 6.4375, 11.40625, 8.84375, 16.875, 7.90625, 5.65625, 6.0625, 13.59375, 12.9375, 8.84375, 7.875, 10.125, 5.71875, 7.65625, 9.8125, 7.90625, 10.53125, 6.0625, 10.65625, 11.03125, 13.0, 9.71875, 16.65625, 11.3125, 16.875, 10.8125, 6.75, 11.09375, 17.6875, 8.5625, 7.34375, 5.15625, 11.90625, 8.40625, 11.375, 6.4375, 16.84375, 19.0, 11.21875, 12.8125, 10.5625, 13.0625, 10.78125, 10.28125, 10.21875, 12.90625, 17.46875, 16.53125, 5.28125, 16.15625, 12.84375, 6.375, 5.15625, 10.21875, 12.625, 12.3125, 6.9375, 19.875, 9.34375, 11.90625, 13.40625, 11.40625, 10.40625, 11.34375, 8.78125, 16.25, 10.625, 14.125, 8.84375, 13.96875, 10.0625, 12.3125, 10.6875, 7.75, 11.21875]",50
emergency_patients_seen,4,"[59, 65, 49, 60, 50, 48, 57, 60, 71, 57, 65, 57, 59, 52, 56, 52, 47, 61, 53, 50, 72, 60, 62, 60, 60, 51, 64, 57, 68, 55, 62, 62, 64, 59, 58, 56, 55, 49, 47, 57, 58, 48, 62, 52, 72, 53, 66, 61, 65, 70, 59, 53, 69, 60, 59, 50, 50, 74, 56, 60, 65, 74, 81, 59, 72, 49, 58, 65, 51, 67, 72, 71, 77, 51, 67, 72, 54, 48, 63, 60, 59, 51, 82, 59, 56, 64, 58, 60, 67, 57, 63, 64, 58, 54, 72, 53, 56, 62, 75, 61]",50
elective_patients_seen,4,"[15, 11, 5, 10, 6, 5, 7, 6, 9, 10, 9, 12, 7, 6, 10, 7, 3, 10, 7, 6, 12, 11, 8, 8, 8, 9, 6, 9, 12, 6, 8, 6, 13, 13, 8, 7, 7, 7, 10, 8, 10, 7, 10, 7, 11, 6, 7, 9, 8, 12, 7, 7, 13, 11, 11, 7, 5, 11, 9, 9, 8, 14, 16, 8, 15, 5, 11, 5, 6, 13, 9, 10, 15, 9, 7, 12, 6, 3, 13, 9, 10, 6, 21, 13, 6, 9, 6, 9, 13, 8, 5, 9, 7, 8, 12, 8, 9, 10, 14, 11]",50
daycase_patients_seen,4,"[10, 8, 4, 5, 5, 6, 7, 5, 9, 7, 12, 6, 7, 4, 7, 7, 2, 8, 4, 5, 7, 8, 11, 7, 9, 4, 8, 5, 12, 5, 6, 4, 8, 6, 5, 6, 4, 3, 8, 10, 5, 4, 4, 7, 7, 10, 5, 13, 10, 12, 6, 6, 10, 10, 8, 5, 3, 9, 7, 9, 5, 13, 16, 7, 10, 10, 8, 9, 7, 9, 7, 12, 11, 7, 8, 9, 6, 3, 11, 10, 9, 6, 21, 7, 9, 9, 7, 9, 9, 9, 8, 8, 9, 5, 9, 8, 8, 6, 5, 7]",50
emergency_patients_cancelled,4,"[32, 35, 45, 31, 37, 41, 34, 34, 33, 32, 40, 31, 33, 34, 37, 43, 39, 30, 40, 39, 28, 29, 34, 38, 35, 42, 36, 39, 24, 40, 29, 31, 33, 33, 30, 30, 34, 35, 40, 35, 35, 44, 37, 40, 29, 41, 24, 31, 32, 25, 33, 40, 23, 31, 30, 40, 35, 24, 34, 30, 27, 26, 16, 30, 34, 38, 32, 33, 41, 29, 27, 23, 22, 38, 26, 24, 36, 39, 24, 33, 33, 45, 8, 37, 32, 27, 36, 36, 30, 37, 30, 32, 41, 36, 25, 40, 35, 41, 20, 23]",50
elective_patients_cancelled,4,"[24, 36, 33, 31, 36, 37, 33, 34, 30, 34, 29, 30, 36, 38, 31, 35, 38, 34, 33, 33, 28, 32, 33, 29, 31, 30, 35, 31, 26, 36, 33, 34, 25, 24, 34, 34, 31, 33, 33, 33, 27, 32, 30, 32, 28, 33, 33, 31, 31, 29, 33, 33, 27, 28, 28, 34, 34, 28, 32, 26, 29, 25, 23, 34, 18, 38, 30, 35, 37, 30, 27, 31, 23, 33, 35, 29, 32, 36, 27, 33, 30, 34, 16, 25, 35, 28, 36, 29, 27, 33, 34, 31, 31, 33, 28, 33, 36, 29, 26, 27]",50
daycase_patients_cancelled,4,"[53, 49, 55, 55, 53, 48, 52, 54, 50, 57, 55, 53, 51, 59, 47, 53, 56, 50, 57, 58, 54, 52, 54, 50, 51, 53, 49, 46, 47, 51, 46, 57, 50, 47, 49, 58, 57, 58, 54, 49, 56, 57, 57, 50, 49, 52, 57, 47, 53, 48, 53, 52, 53, 49, 57, 54, 53, 52, 53, 50, 53, 46, 48, 48, 47, 52, 48, 49, 55, 45, 54, 48, 46, 54, 50, 48, 58, 67, 52, 54, 50, 57, 40, 46, 56, 52, 52, 54, 46, 55, 42, 49, 45, 54, 49, 48, 46, 51, 49, 46]",50
